행정동_코드,행정동_코드_명,서비스_업종_코드,서비스_업종_코드_명,위험도_점수,위험도,위험도7,예측_위험도
11110550,부암동,CS200034,여관,0.17440370766096258,2,6단계,2
11110550,부암동,CS300001,슈퍼마켓,-0.38017372586901105,0,2단계,0
11110550,부암동,CS300002,편의점,0.6810145637477671,2,7단계,2
11110550,부암동,CS300010,반찬가게,-0.26270982190979636,0,3단계,0
11110550,부암동,CS300011,일반의류,-0.2215574317991612,1,3단계,0
11110550,부암동,CS300020,서적,0.6037437912524491,2,7단계,2
11110550,부암동,CS300028,화초,0.0549054483503441,1,5단계,1
11110560,평창동,CS100001,한식음식점,-0.1928296354890568,1,3단계,1
11110560,평창동,CS100003,일식음식점,-0.1804949687117014,1,4단계,1
11110560,평창동,CS100004,양식음식점,0.29635051983593963,2,6단계,2
11110560,평창동,CS100005,제과점,-0.39421356062738877,0,1단계,0
11110560,평창동,CS100006,패스트푸드점,1.203591579099088,2,7단계,2
11110560,평창동,CS100008,분식전문점,-0.34063270228420983,0,2단계,0
11110560,평창동,CS100009,호프-간이주점,-0.012752406346407924,1,5단계,2
11110560,평창동,CS100010,커피-음료,-0.32740763337796364,0,2단계,1
11110560,평창동,CS200001,일반교습학원,0.06151548663564167,1,5단계,2
11110560,평창동,CS200003,예술학원,0.062139590401479705,1,5단계,1
11110560,평창동,CS200005,스포츠 강습,-0.3831264115638532,0,2단계,0
11110560,평창동,CS200006,일반의원,-0.3184059528798529,0,2단계,0
11110560,평창동,CS200007,치과의원,-0.22240746874060724,1,3단계,1
11110560,평창동,CS200008,한의원,-0.22873085826811723,1,3단계,1
11110560,평창동,CS200025,자동차수리,-0.34167238886618084,0,2단계,0
11110560,평창동,CS200028,미용실,-0.7523187059486409,0,1단계,0
11110560,평창동,CS200030,피부관리실,-0.23001776779363975,1,3단계,0
11110560,평창동,CS200031,세탁소,-0.32864824834385925,0,2단계,0
11110560,평창동,CS200034,여관,-0.68369857580722,0,1단계,0
11110560,평창동,CS300001,슈퍼마켓,-0.3918205862852702,0,1단계,0
11110560,평창동,CS300002,편의점,0.3883592661569631,2,6단계,2
11110560,평창동,CS300007,육류판매,-0.4981045364085794,0,1단계,0
11110560,평창동,CS300011,일반의류,-0.2241572821154659,1,3단계,0
11110560,평창동,CS300018,의약품,-0.3053771204658977,0,2단계,0
11110560,평창동,CS300021,문구,-0.4419641947503496,0,1단계,0
11110560,평창동,CS300029,애완동물,0.18233938425908108,2,6단계,2
11110570,무악동,CS100001,한식음식점,-0.42149715770329454,0,1단계,0
11110570,무악동,CS100005,제과점,0.15239643565507294,2,6단계,2
11110570,무악동,CS100007,치킨전문점,-0.3130388740110128,0,2단계,0
11110570,무악동,CS100008,분식전문점,-0.4100230651085881,0,1단계,0
11110570,무악동,CS100009,호프-간이주점,-0.2994801721607904,0,2단계,0
11110570,무악동,CS100010,커피-음료,-0.20068792842104105,1,3단계,1
11110570,무악동,CS200001,일반교습학원,0.5596971353453977,2,7단계,2
11110570,무악동,CS200003,예술학원,0.18035546510955142,2,6단계,2
11110570,무악동,CS200007,치과의원,-0.256877039323563,0,3단계,0
11110570,무악동,CS200028,미용실,-0.5335927776490182,0,1단계,0
11110570,무악동,CS300001,슈퍼마켓,0.9044545955199803,2,7단계,2
11110570,무악동,CS300002,편의점,-0.3913340975233876,0,1단계,0
11110570,무악동,CS300018,의약품,-0.207344483430129,1,3단계,1
11110580,교남동,CS100001,한식음식점,-0.029662264635790952,1,5단계,1
11110580,교남동,CS100002,중식음식점,-0.179942200929822,1,4단계,1
11110580,교남동,CS100003,일식음식점,-0.11686693092133289,1,4단계,1
11110580,교남동,CS100005,제과점,0.3243192196704628,2,6단계,2
11110580,교남동,CS100006,패스트푸드점,1.389989225285257,2,7단계,2
11110580,교남동,CS100007,치킨전문점,0.2660964103399486,2,6단계,2
11110580,교남동,CS100008,분식전문점,0.18296398457489815,2,6단계,2
11110580,교남동,CS100010,커피-음료,0.20312891434466224,2,6단계,2
11110580,교남동,CS200001,일반교습학원,0.14070689860673244,2,6단계,2
11110580,교남동,CS200005,스포츠 강습,0.09948762577151603,2,5단계,1
11110580,교남동,CS200006,일반의원,0.4661220927373984,2,7단계,2
11110580,교남동,CS200007,치과의원,0.006272128396831098,1,5단계,1
11110580,교남동,CS200008,한의원,-0.30887288669022706,0,2단계,0
11110580,교남동,CS200028,미용실,-0.35123485661523707,0,2단계,0
11110580,교남동,CS300001,슈퍼마켓,0.5163676811049978,2,7단계,2
11110580,교남동,CS300002,편의점,0.6233472485807933,2,7단계,2
11110580,교남동,CS300018,의약품,-0.12784317707621728,1,4단계,1
11110580,교남동,CS300019,의료기기,-0.37784191733733324,0,2단계,0
11110580,교남동,CS300022,화장품,1.1742655216265567,2,7단계,2
11110600,가회동,CS100001,한식음식점,-0.17753930470162962,1,4단계,1
11110600,가회동,CS100003,일식음식점,-0.39745658532720907,0,1단계,0
11110600,가회동,CS100004,양식음식점,-0.14210722360551287,1,4단계,1
11110600,가회동,CS100005,제과점,0.23950121885683223,2,6단계,2
11110600,가회동,CS100006,패스트푸드점,0.38291141850071453,2,6단계,2
11110600,가회동,CS100007,치킨전문점,-0.2176305362019999,1,3단계,0
11110600,가회동,CS100008,분식전문점,-0.27097529777215934,0,2단계,0
11110600,가회동,CS100009,호프-간이주점,-0.3470009773296635,0,2단계,0
11110600,가회동,CS100010,커피-음료,-0.02371031496968093,1,5단계,1
11110600,가회동,CS200001,일반교습학원,0.6861805272083029,2,7단계,2
11110600,가회동,CS200005,스포츠 강습,0.03390329791713159,1,5단계,1
11110600,가회동,CS200008,한의원,-0.28102413213025124,0,2단계,0
11110600,가회동,CS200028,미용실,1.7643957503298595,2,7단계,2
11110600,가회동,CS200037,노래방,-0.2719805553516855,0,2단계,0
11110600,가회동,CS300001,슈퍼마켓,-0.1440672592551185,1,4단계,1
11110600,가회동,CS300002,편의점,0.48746507393498806,2,7단계,2
11110600,가회동,CS300010,반찬가게,-0.22009817204599158,1,3단계,1
11110600,가회동,CS300011,일반의류,-0.3936924039923662,0,1단계,0
11110600,가회동,CS300015,가방,-0.4160915702454093,0,1단계,0
11110600,가회동,CS300016,안경,-0.24765947951610112,0,3단계,0
11110600,가회동,CS300017,시계및귀금속,-0.23200168694316942,1,3단계,1
11110600,가회동,CS300021,문구,-0.19844683990300616,1,3단계,1
11110600,가회동,CS300028,화초,0.5693926937085516,2,7단계,2
11110615,종로1·2·3·4가동,CS100001,한식음식점,2.0462731987820098,2,7단계,2
11110615,종로1·2·3·4가동,CS100002,중식음식점,-0.09307327340309252,1,4단계,1
11110615,종로1·2·3·4가동,CS100003,일식음식점,0.14244283593344512,2,6단계,2
11110615,종로1·2·3·4가동,CS100004,양식음식점,0.1654982681421892,2,6단계,2
11110615,종로1·2·3·4가동,CS100005,제과점,0.1292486085551407,2,5단계,2
11110615,종로1·2·3·4가동,CS100006,패스트푸드점,0.32395944088817924,2,6단계,2
11110615,종로1·2·3·4가동,CS100007,치킨전문점,0.11745865147358797,2,5단계,2
11110615,종로1·2·3·4가동,CS100008,분식전문점,0.7566883196109504,2,7단계,2
11110615,종로1·2·3·4가동,CS100009,호프-간이주점,0.5536734516428737,2,7단계,2
11110615,종로1·2·3·4가동,CS100010,커피-음료,0.9152803542125345,2,7단계,2
11110615,종로1·2·3·4가동,CS200001,일반교습학원,-0.10980849945462633,1,4단계,1
11110615,종로1·2·3·4가동,CS200002,외국어학원,0.363097383399153,2,6단계,2
11110615,종로1·2·3·4가동,CS200003,예술학원,0.13213178341916243,2,5단계,2
11110615,종로1·2·3·4가동,CS200005,스포츠 강습,0.0889658121070622,2,5단계,2
11110615,종로1·2·3·4가동,CS200006,일반의원,0.3286278822566103,2,6단계,2
11110615,종로1·2·3·4가동,CS200007,치과의원,0.05007718793192623,1,5단계,2
11110615,종로1·2·3·4가동,CS200008,한의원,-0.03664510142683174,1,5단계,1
11110615,종로1·2·3·4가동,CS200016,당구장,-0.010939435456054886,1,5단계,1
11110615,종로1·2·3·4가동,CS200017,골프연습장,0.5116053502270883,2,7단계,2
11110615,종로1·2·3·4가동,CS200019,PC방,-0.3323011906684614,0,2단계,0
11110615,종로1·2·3·4가동,CS200024,스포츠클럽,-0.06759695180473115,1,4단계,1
11110615,종로1·2·3·4가동,CS200025,자동차수리,-0.12250542919608444,1,4단계,1
11110615,종로1·2·3·4가동,CS200028,미용실,-0.13113645578371663,1,4단계,1
11110615,종로1·2·3·4가동,CS200029,네일숍,0.4246946368596657,2,7단계,2
11110615,종로1·2·3·4가동,CS200030,피부관리실,-0.1523584972342841,1,4단계,1
11110615,종로1·2·3·4가동,CS200031,세탁소,-0.10898871135973212,1,4단계,1
11110615,종로1·2·3·4가동,CS200032,가전제품수리,-0.2718813887137823,0,2단계,1
11110615,종로1·2·3·4가동,CS200034,여관,0.19984621106806974,2,6단계,2
11110615,종로1·2·3·4가동,CS200037,노래방,-0.3015771186927587,0,2단계,0
11110615,종로1·2·3·4가동,CS300001,슈퍼마켓,0.27269007419204006,2,6단계,2
11110615,종로1·2·3·4가동,CS300002,편의점,0.6957168757978957,2,7단계,2
11110615,종로1·2·3·4가동,CS300003,컴퓨터및주변장치판매,-0.41184635808196113,0,1단계,1
11110615,종로1·2·3·4가동,CS300006,미곡판매,-0.4125895244125414,0,1단계,0
11110615,종로1·2·3·4가동,CS300007,육류판매,-0.27107135844876656,0,2단계,0
11110615,종로1·2·3·4가동,CS300008,수산물판매,-0.10554401753981214,1,4단계,1
11110615,종로1·2·3·4가동,CS300009,청과상,0.008492793611203683,1,5단계,1
11110615,종로1·2·3·4가동,CS300010,반찬가게,-0.09585968767809569,1,4단계,1
11110615,종로1·2·3·4가동,CS300011,일반의류,0.699113706229932,2,7단계,2
11110615,종로1·2·3·4가동,CS300014,신발,-0.11040551999783851,1,4단계,1
11110615,종로1·2·3·4가동,CS300015,가방,-0.41516905902457996,0,1단계,0
11110615,종로1·2·3·4가동,CS300016,안경,0.04132490048350219,1,5단계,1
11110615,종로1·2·3·4가동,CS300017,시계및귀금속,4.782978466437587,2,7단계,2
11110615,종로1·2·3·4가동,CS300018,의약품,0.19821386506451752,2,6단계,2
11110615,종로1·2·3·4가동,CS300019,의료기기,-0.3156819761303604,0,2단계,0
11110615,종로1·2·3·4가동,CS300020,서적,0.037238216303637606,1,5단계,1
11110615,종로1·2·3·4가동,CS300021,문구,-0.015367371963449145,1,5단계,1
11110615,종로1·2·3·4가동,CS300022,화장품,0.04342570231194629,1,5단계,1
11110615,종로1·2·3·4가동,CS300027,섬유제품,0.14028025647646933,2,6단계,2
11110615,종로1·2·3·4가동,CS300028,화초,-0.06320548391761704,1,4단계,2
11110615,종로1·2·3·4가동,CS300032,가전제품,-0.10486873514744463,1,4단계,1
11110615,종로1·2·3·4가동,CS300033,철물점,0.384772169743289,2,6단계,2
11110615,종로1·2·3·4가동,CS300035,인테리어,-0.29555424676826303,0,2단계,1
11110615,종로1·2·3·4가동,CS300036,조명용품,1.515393579313345,2,7단계,2
11110615,종로1·2·3·4가동,CS300043,전자상거래업,0.09115610396201942,2,5단계,2
11110630,종로5·6가동,CS100001,한식음식점,0.42908610362855587,2,7단계,2
11110630,종로5·6가동,CS100002,중식음식점,-0.09917309500542935,1,4단계,1
11110630,종로5·6가동,CS100003,일식음식점,0.12462473752418685,2,5단계,2
11110630,종로5·6가동,CS100004,양식음식점,0.017542765427238594,1,5단계,1
11110630,종로5·6가동,CS100005,제과점,0.1609529640304157,2,6단계,2
11110630,종로5·6가동,CS100006,패스트푸드점,-0.00683310586992425,1,5단계,1
11110630,종로5·6가동,CS100007,치킨전문점,-0.1260620719942337,1,4단계,1
