행정동_코드,행정동_코드_명,변수명,이유
11530740,개봉1동,직장_인구_수,컬럼 없음
11530750,개봉2동,직장_인구_수,컬럼 없음
11530760,개봉3동,직장_인구_수,컬럼 없음
11530770,오류1동,직장_인구_수,컬럼 없음
11530780,오류2동,직장_인구_수,컬럼 없음
11530790,수궁동,직장_인구_수,컬럼 없음
11530800,항동,직장_인구_수,컬럼 없음
11545510,가산동,직장_인구_수,컬럼 없음
11545610,독산1동,직장_인구_수,컬럼 없음
11545620,독산2동,직장_인구_수,컬럼 없음
11545630,독산3동,직장_인구_수,컬럼 없음
11545640,독산4동,직장_인구_수,컬럼 없음
11545670,시흥1동,직장_인구_수,컬럼 없음
11545680,시흥2동,직장_인구_수,컬럼 없음
11545690,시흥3동,직장_인구_수,컬럼 없음
11545700,시흥4동,직장_인구_수,컬럼 없음
11545710,시흥5동,직장_인구_수,컬럼 없음
11560515,영등포본동,직장_인구_수,컬럼 없음
11560535,영등포동,직장_인구_수,컬럼 없음
11560540,여의동,직장_인구_수,컬럼 없음
11560550,당산1동,직장_인구_수,컬럼 없음
11560560,당산2동,직장_인구_수,컬럼 없음
11560585,도림동,직장_인구_수,컬럼 없음
11560605,문래동,직장_인구_수,컬럼 없음
11560610,양평1동,직장_인구_수,컬럼 없음
11560620,양평2동,직장_인구_수,컬럼 없음
11560630,신길1동,직장_인구_수,컬럼 없음
11560650,신길3동,직장_인구_수,컬럼 없음
11560660,신길4동,직장_인구_수,컬럼 없음
11560670,신길5동,직장_인구_수,컬럼 없음
11560680,신길6동,직장_인구_수,컬럼 없음
11560690,신길7동,직장_인구_수,컬럼 없음
11560700,대림1동,직장_인구_수,컬럼 없음
11560710,대림2동,직장_인구_수,컬럼 없음
11560720,대림3동,직장_인구_수,컬럼 없음
11590510,노량진1동,직장_인구_수,컬럼 없음
11590520,노량진2동,직장_인구_수,컬럼 없음
11590530,상도1동,직장_인구_수,컬럼 없음
11590540,상도2동,직장_인구_수,컬럼 없음
11590550,상도3동,직장_인구_수,컬럼 없음
11590560,상도4동,직장_인구_수,컬럼 없음
11590605,흑석동,직장_인구_수,컬럼 없음
