행정기관코드,기준연월,시도명,시군구명,읍면동명,계,남자,여자,110세이상 남자,110세이상 여자,age_0_9_male,age_0_9_female,age_0_9_total,age_10_19_male,age_10_19_female,age_10_19_total,age_20_29_male,age_20_29_female,age_20_29_total,age_30_39_male,age_30_39_female,age_30_39_total,age_40_49_male,age_40_49_female,age_40_49_total,age_50_59_male,age_50_59_female,age_50_59_total,age_60_200_male,age_60_200_female,age_60_200_total
3020055000,2024-02-29,대전광역시,유성구,신성동,25807,13588,12219,0,0,1266,1155,2421,1439,1209,2648,2241,1933,4174,2972,2210,5182,2002,2006,4008,1829,1785,3614,1839,1921,3760
3020057000,2024-02-29,대전광역시,유성구,전민동,26315,13554,12761,0,0,1143,1045,2188,1471,1430,2901,2162,1676,3838,2513,1939,4452,1931,2027,3958,2069,2231,4300,2265,2413,4678
3020058000,2024-02-29,대전광역시,유성구,구즉동,33238,17048,16190,0,0,1501,1461,2962,1609,1467,3076,2452,2002,4454,3365,2801,6166,2688,2576,5264,2831,2755,5586,2602,3128,5730
3020060000,2024-02-29,대전광역시,유성구,관평동,33890,17284,16606,0,0,1929,1870,3799,2570,2361,4931,2147,1934,4081,2469,2361,4830,3217,3407,6624,2992,2652,5644,1960,2021,3981
3020061000,2024-02-29,대전광역시,유성구,원신흥동,30167,14419,15748,0,0,1797,1572,3369,1561,1448,3009,1473,1631,3104,2626,2815,5441,2646,2851,5497,2043,2365,4408,2273,3066,5339
3023051000,2024-02-29,대전광역시,대덕구,오정동,13905,7268,6637,0,0,238,230,468,492,449,941,1083,1028,2111,829,587,1416,925,718,1643,1358,1109,2467,2343,2516,4859
3023052000,2024-02-29,대전광역시,대덕구,대화동,6427,3349,3078,0,0,107,84,191,224,188,412,350,290,640,390,302,692,502,405,907,675,573,1248,1101,1236,2337
3023052500,2024-02-29,대전광역시,대덕구,회덕동,11430,5856,5574,0,0,227,228,455,461,380,841,603,492,1095,634,466,1100,740,635,1375,1136,1040,2176,2055,2333,4388
3023053300,2024-02-29,대전광역시,대덕구,비래동,15348,7604,7744,0,0,339,314,653,713,644,1357,1002,874,1876,804,603,1407,1012,1031,2043,1547,1601,3148,2187,2677,4864
3023054300,2024-02-29,대전광역시,대덕구,송촌동,26095,12935,13160,0,0,758,756,1514,1626,1583,3209,1979,1653,3632,1289,1158,2447,1872,2168,4040,2797,2958,5755,2614,2884,5498
3023054600,2024-02-29,대전광역시,대덕구,중리동,18643,9690,8953,0,0,338,329,667,701,610,1311,1462,1205,2667,1191,867,2058,1389,1159,2548,1963,1722,3685,2646,3061,5707
3023055000,2024-02-29,대전광역시,대덕구,신탄진동,14769,7632,7137,0,0,431,443,874,556,477,1033,977,756,1733,1166,910,2076,1048,911,1959,1425,1347,2772,2029,2293,4322
3023056000,2024-02-29,대전광역시,대덕구,석봉동,16209,8314,7895,0,0,861,782,1643,862,785,1647,957,751,1708,1339,1267,2606,1491,1271,2762,1288,1365,2653,1516,1674,3190
3023057000,2024-02-29,대전광역시,대덕구,덕암동,13019,7007,6012,0,0,290,246,536,483,443,926,1075,760,1835,1026,633,1659,919,780,1699,1423,1166,2589,1791,1984,3775
3023058000,2024-02-29,대전광역시,대덕구,목상동,6136,3333,2803,0,0,164,147,311,251,267,518,481,380,861,590,339,929,582,428,1010,630,512,1142,635,730,1365
3023060000,2024-02-29,대전광역시,대덕구,법1동,12449,5816,6633,0,0,377,382,759,468,463,931,696,623,1319,751,740,1491,791,771,1562,1073,1326,2399,1660,2328,3988
3023061000,2024-02-29,대전광역시,대덕구,법2동,15128,7354,7774,0,0,398,340,738,668,601,1269,958,750,1708,735,635,1370,889,1002,1891,1410,1621,3031,2296,2825,5121
