행정기관코드,시도명,시군구명,읍면동명,계,남자,여자,age_0_9_male,age_0_9_female,age_0_9_total,age_10_19_male,age_10_19_female,age_10_19_total,age_20_29_male,age_20_29_female,age_20_29_total,age_30_39_male,age_30_39_female,age_30_39_total,age_40_49_male,age_40_49_female,age_40_49_total,age_50_59_male,age_50_59_female,age_50_59_total,age_60_200_male,age_60_200_female,age_60_200_total
3020052600,대전광역시,유성구,학하동,19556,10140,9416,939,892,1831,764,738,1502,1867,1308,3175,1685,1562,3247,1561,1415,2976,1338,1473,2811,1986,2028,4014
3020052700,대전광역시,유성구,상대동,25132,12213,12919,1401,1335,2736,1821,1769,3590,1218,1107,2325,1301,1648,2949,2294,2559,4853,2044,2171,4215,2134,2330,4464
3020053000,대전광역시,유성구,온천1동,26633,13856,12777,363,346,709,431,425,856,3168,3324,6492,3285,2380,5665,1751,1289,3040,1942,1825,3767,2916,3188,6104
3020054000,대전광역시,유성구,온천2동,40543,21343,19200,1407,1385,2792,1578,1479,3057,5755,4095,9850,3285,2547,5832,2701,2522,5223,2699,2846,5545,3918,4326,8244
3020054600,대전광역시,유성구,노은1동,20941,10410,10531,841,787,1628,1456,1328,2784,1325,1255,2580,1559,1448,3007,1713,1953,3666,1792,1771,3563,1724,1989,3713
3020054700,대전광역시,유성구,노은2동,23426,11463,11963,846,795,1641,1558,1518,3076,1520,1355,2875,1403,1364,2767,1847,2120,3967,2088,2250,4338,2201,2561,4762
3020054800,대전광역시,유성구,노은3동,36285,17786,18499,1915,1801,3716,2392,2287,4679,1797,1631,3428,2367,2535,4902,3415,3678,7093,2825,3008,5833,3075,3559,6634
3020055000,대전광역시,유성구,신성동,25444,13381,12063,1185,1100,2285,1387,1198,2585,2205,1889,4094,2933,2170,5103,1949,1893,3842,1812,1800,3612,1910,2013,3923
3020057000,대전광역시,유성구,전민동,25743,13266,12477,1091,991,2082,1431,1368,2799,2076,1601,3677,2438,1869,4307,1884,1977,3861,1999,2186,4185,2347,2485,4832
3020058000,대전광역시,유성구,구즉동,32877,16845,16032,1441,1380,2821,1541,1462,3003,2397,1897,4294,3363,2811,6174,2607,2456,5063,2787,2790,5577,2709,3236,5945
3020060000,대전광역시,유성구,관평동,37229,19017,18212,2060,1977,4037,2622,2437,5059,2402,2170,4572,3127,2834,5961,3371,3535,6906,3239,2990,6229,2196,2269,4465
3020061000,대전광역시,유성구,원신흥동,30131,14382,15749,1758,1496,3254,1558,1460,3018,1485,1609,3094,2531,2742,5273,2624,2864,5488,2047,2376,4423,2379,3202,5581
3023051000,대전광역시,대덕구,오정동,13668,7119,6549,206,202,408,464,427,891,1079,1047,2126,809,559,1368,874,666,1540,1328,1060,2388,2359,2588,4947
3023052000,대전광역시,대덕구,대화동,6090,3200,2890,94,78,172,216,164,380,336,265,601,375,266,641,455,375,830,653,534,1187,1071,1208,2279
3023052500,대전광역시,대덕구,회덕동,12661,6469,6192,311,287,598,440,387,827,667,571,1238,860,624,1484,795,675,1470,1205,1189,2394,2191,2459,4650
3023053300,대전광역시,대덕구,비래동,14987,7425,7562,303,272,575,673,614,1287,976,833,1809,764,580,1344,948,949,1897,1514,1611,3125,2247,2703,4950
3023054300,대전광역시,대덕구,송촌동,25620,12677,12943,694,714,1408,1554,1534,3088,1860,1567,3427,1301,1161,2462,1767,2060,3827,2785,2922,5707,2716,2985,5701
3023054600,대전광역시,대덕구,중리동,18162,9511,8651,302,290,592,659,573,1232,1373,1101,2474,1213,824,2037,1307,1093,2400,1923,1649,3572,2734,3121,5855
3023055000,대전광역시,대덕구,신탄진동,15804,8133,7671,473,486,959,569,496,1065,1011,772,1783,1303,1045,2348,1092,972,2064,1523,1445,2968,2162,2455,4617
3023056000,대전광역시,대덕구,석봉동,16032,8169,7863,799,761,1560,883,795,1678,898,742,1640,1294,1223,2517,1466,1288,2754,1274,1317,2591,1555,1737,3292
3023057000,대전광역시,대덕구,덕암동,12687,6845,5842,265,233,498,445,412,857,1019,713,1732,1008,608,1616,873,747,1620,1401,1109,2510,1834,2020,3854
3023058000,대전광역시,대덕구,목상동,5985,3259,2726,137,130,267,242,238,480,472,376,848,569,327,896,553,405,958,629,500,1129,657,750,1407
3023060000,대전광역시,대덕구,법1동,12218,5702,6516,343,359,702,448,447,895,643,581,1224,763,728,1491,766,737,1503,1045,1284,2329,1694,2380,4074
3023061000,대전광역시,대덕구,법2동,14794,7150,7644,342,311,653,635,562,1197,933,716,1649,710,624,1334,830,930,1760,1361,1589,2950,2339,2912,5251
