행정동_코드,행정동_코드_명,상관계수,상관_위험도점수
11260600,중화1동,-0.042612932110183986,1.042612932110184
11260610,중화2동,0.01624650233793643,0.9837534976620635
11260620,묵1동,-0.0011059265542951167,1.0011059265542952
11260630,묵2동,0.008440948289572162,0.9915590517104278
11260655,망우본동,0.001547945489218561,0.9984520545107815
11260660,망우3동,-0.008651556422442428,1.0086515564224425
11260680,신내1동,0.010851193184914298,0.9891488068150857
11260690,신내2동,-0.019541687570660098,1.01954168757066
11290525,성북동,0.010629533078034539,0.9893704669219655
11290555,삼선동,0.012690421572156075,0.987309578427844
11290575,동선동,0.01184525415802062,0.9881547458419794
11290580,돈암1동,0.010359821234599206,0.9896401787654008
11290590,돈암2동,-0.014075592623221311,1.0140755926232212
11290600,안암동,0.03266626490251896,0.967333735097481
11290610,보문동,0.0007742730751444532,0.9992257269248556
